product_id,name,category,price
2.0,nan,Kitchen,10.99
8.0,nan,Apps,24.99
nan,Fashionable Belt Bag,Accessories,34.99
73.0,nan,Home,19.99
75.0,nan,Food - Prepared Foods,8.99
85.0,nan,Smart Home,169.99
nan,Spinach Feta Wraps,Food - Deli,4.29
115.0,nan,Smart Home,34.99
131.0,Indian Curry Sauce,Food - Condiments,nan
133.0,Almond Coconut Granola,nan,3.99
149.0,nan,Clothing - Footwear,99.99
161.0,nan,Pets,39.99
182.0,nan,Food - Snacks,6.99
189.0,nan,Home,34.99
193.0,Graphic Sweatshirt,nan,34.99
203.0,nan,Audio,39.99
nan,Watercolor Brush Pens,Art Supplies,19.99
218.0,nan,Food - Bakery,6.49
nan,Protein Pancake Mix,Food - Breakfast,3.99
237.0,nan,Home Appliances,249.99
nan,Weighted Blanket for Adults,Health,59.99
250.0,Artisan Flatbreads,nan,2.99
252.0,nan,Food - Grains,3.99
nan,Beard Grooming Kit,Grooming,34.99
260.0,Berry Smoothie Mix,Food - Frozen Foods,nan
266.0,Kids' Crafting Station,Toys,nan
267.0,Casual Long Cardigan,nan,45.99
273.0,nan,Food - Cooking Oil,6.99
nan,Spicy Roasted Nuts,Food - Snacks,4.99
290.0,Car Diagnostic Scanner,nan,49.99
nan,Sliced Ham,Food - Meat,5.49
297.0,nan,Food - Breakfast,4.99
300.0,nan,Food - Meat,8.49
nan,Homestyle Chicken Noodle Soup,Food - Canned Goods,2.99
308.0,Almond Flour Biscuits,Food - Bakery,nan
314.0,nan,Health,29.99
316.0,nan,Food - Grains,2.99
327.0,Biodegradable Dog Waste Bags,Pets,nan
338.0,Couscous,nan,nan
nan,Foldable Picnic Table,Outdoor,49.99
349.0,Adjustable Bar Stools,Furniture,nan
nan,Ricotta Cheese,Food - Dairy,4.99
382.0,Wire Shelving Unit,nan,69.99
390.0,Emergency Preparedness Kit,Safety,nan
403.0,Smartphone Stand,nan,15.49
406.0,nan,Health,14.99
413.0,nan,Food - Spices,1.99
422.0,nan,Kitchen,39.99
nan,Elderberry Syrup,Food - Supplements,11.99
443.0,nan,Office,299.99
nan,Fitbit Activity Tracker,Fitness,99.99
447.0,nan,Food - Beverages,4.99
nan,Spicy Chicken Wings,Food - Meat,9.99
nan,Wild Rice & Quinoa Mix,Food - Grains,2.99
nan,Cinnamon Sugar Popcorn,Food - Snacks,2.89
457.0,nan,Toys,22.99
468.0,nan,Food - Frozen Foods,3.99
494.0,nan,Food - Desserts,4.99
512.0,nan,Food - Snacks,3.49
515.0,nan,Books,27.99
520.0,Fitness Balance Ball,Fitness,nan
nan,Ultraviolet Phone Sanitizer,Health,39.99
548.0,Recipe Book Stand,Kitchen,nan
569.0,nan,Food - Snacks,3.29
570.0,Pretzel Bites,nan,4.99
nan,Electric Rice Cooker with Steamer,Kitchen,49.99
592.0,Chocolate Hazelnut Granola,Food - Cereal,nan
600.0,nan,Food - Snacks,3.49
nan,Cabbage Slaw Mix,Food - Vegetables,2.29
638.0,Inflatable Pool Float,Outdoor,nan
nan,Organic Almonds,Food - Nuts,8.99
647.0,nan,Food - Seafood,3.29
649.0,Almond Butter Crunch Bar,Food - Snacks,nan
nan,Outdoor Mosquito Repellent Lantern,Outdoor,34.99
nan,Set of Measuring Spoons,Kitchen,12.99
673.0,nan,Food - Condiments,3.59
nan,Fitness Tracker Band,Fitness,29.99
698.0,Home Cleaning Robot,Home Appliances,nan
709.0,nan,Food - Bakery,3.49
717.0,nan,Office,49.99
719.0,Digital Food Scale,Kitchen,nan
727.0,nan,Automotive,24.99
737.0,Tandoori Chicken Marinade,Food - Condiments,nan
741.0,LED Flashlight with Rechargeable Batteries,Outdoor,nan
745.0,nan,Garden,39.99
750.0,Frozen Fruit Medley,nan,5.99
nan,Wireless Smart Plug,Smart Home,19.99
767.0,nan,Food - Condiments,4.29
769.0,Organic Cucumber,Food - Vegetables,nan
774.0,Paint By Numbers Kit,nan,24.99
793.0,nan,Fitness,59.99
802.0,nan,Electronics,199.99
nan,Chocolate Almond Milk,Food - Dairy Alternatives,2.79
819.0,nan,Food - Bakery,3.99
nan,Egg Noodles,Food - Grains,2.29
831.0,Laptop Stand,Accessories,nan
849.0,Portable Hammock,Outdoor,nan
854.0,Chili Lime Shrimp,Food - Seafood,nan
874.0,nan,Kitchen,34.99
877.0,nan,Home,29.99
905.0,nan,Health,49.99
911.0,nan,Food - Supplements,11.99
nan,Ramen Noodle Soup Cups,Food - Prepared Meals,1.29
917.0,Pet Caress Brush,nan,12.99
941.0,nan,Food - Sauces,3.29
nan,Classic Cheeseburger Mix,Food - Meats,5.49
967.0,nan,Outdoor,24.99
nan,Smart Fitness Scale,Fitness,49.99
nan,Hot Dog Buns,Food - Bakery,2.49
