order_id,customer_id,product_id,quantity,order_date,rejection_reasons
1000,82.0,102.0,-1.0,2026-07-09,invalid_quantity
1006,44.0,107.0,0.0,2026-01-29,invalid_quantity
1009,55.0,101.0,2.0,2027-01-10,invalid_date
1009,55.0,105.0,1.0,2027-01-10,invalid_date
1010,38.0,108.0,-3.0,2026-06-21,invalid_quantity
1013,84.0,106.0,0.0,2026-08-15,invalid_quantity
1014,47.0,105.0,4.0,2026-09-20,invalid_date
1014,47.0,101.0,1.0,2026-09-20,invalid_date
1015,33.0,109.0,2.0,not-a-date,invalid_date
1015,33.0,104.0,3.0,not-a-date,invalid_date
1016,,103.0,2.0,2026-04-18,missing_values
1016,,108.0,1.0,2026-04-18,missing_values
1017,61.0,,4.0,2026-05-03,missing_values
1018,29.0,102.0,,2026-06-07,"missing_values, invalid_quantity"
1019,90.0,107.0,2.0,2026-10-12,invalid_date
1019,90.0,104.0,1.0,2026-10-12,invalid_date
1020,14.0,106.0,-2.0,2026-02-28,invalid_quantity
1022,41.0,105.0,0.0,2026-04-25,invalid_quantity
1023,,109.0,2.0,2026-05-30,missing_values
1023,,101.0,1.0,2026-05-30,missing_values
1024,57.0,104.0,-1.0,2026-06-16,invalid_quantity
1028,31.0,101.0,2.0,2026-11-05,invalid_date
1028,31.0,104.0,1.0,2026-11-05,invalid_date
1029,86.0,107.0,5.0,2026-12-18,invalid_date
1029,86.0,102.0,2.0,2026-12-18,invalid_date
1035,25.0,103.0,0.0,2026-06-02,invalid_quantity
1036,70.0,105.0,-1.0,2026-07-14,invalid_quantity
1038,58.0,107.0,1.0,2026-09-27,invalid_date
1038,58.0,102.0,2.0,2026-09-27,invalid_date
1039,17.0,106.0,5.0,2026-10-03,invalid_date
1039,17.0,103.0,1.0,2026-10-03,invalid_date
1040,94.0,109.0,2.0,2026-12-01,invalid_date
1040,94.0,105.0,3.0,2026-12-01,invalid_date
1041,35.0,102.0,,2026-03-23,"missing_values, invalid_quantity"
1042,,107.0,1.0,2026-04-09,missing_values
1042,,109.0,3.0,2026-04-09,missing_values
1043,64.0,,1.0,2026-05-12,missing_values
1044,46.0,108.0,0.0,2026-06-28,invalid_quantity
1045,77.0,105.0,-2.0,2026-07-31,invalid_quantity
1046,21.0,107.0,2.0,2027-02-15,invalid_date
1046,21.0,104.0,1.0,2027-02-15,invalid_date
1047,53.0,106.0,3.0,2026-09-14,invalid_date
1047,53.0,101.0,2.0,2026-09-14,invalid_date
1048,88.0,109.0,1.0,2026-10-29,invalid_date
1048,88.0,103.0,2.0,2026-10-29,invalid_date
1049,11.0,102.0,4.0,2026-11-17,invalid_date
1049,11.0,105.0,1.0,2026-11-17,invalid_date
1050,,108.0,2.0,2026-12-22,"missing_values, invalid_date"
1050,,104.0,1.0,2026-12-22,"missing_values, invalid_date"
1053,42.0,102.0,-1.0,2026-03-13,invalid_quantity
1055,59.0,107.0,0.0,2026-05-26,invalid_quantity
1059,92.0,108.0,1.0,2026-09-30,invalid_date
1059,92.0,104.0,2.0,2026-09-30,invalid_date
1060,18.0,107.0,3.0,2026-10-18,invalid_date
1060,18.0,101.0,1.0,2026-10-18,invalid_date
1061,62.0,103.0,2.0,2026-11-09,invalid_date
1061,62.0,109.0,3.0,2026-11-09,invalid_date
1062,30.0,106.0,1.0,2026-12-14,invalid_date
1062,30.0,102.0,2.0,2026-12-14,invalid_date
1063,87.0,105.0,4.0,2027-01-22,invalid_date
1063,87.0,108.0,1.0,2027-01-22,invalid_date
1065,,101.0,2.0,2026-04-22,missing_values
1065,,106.0,1.0,2026-04-22,missing_values
1068,60.0,108.0,-1.0,2026-07-27,invalid_quantity
1070,83.0,103.0,1.0,2026-09-18,invalid_date
1070,83.0,109.0,2.0,2026-09-18,invalid_date
